序号,推荐学段,分类,图书名称,作者,故事梗概,intro-video
1,小学 1-2,人文社科,五星红旗,华琪，杨汝戬，马堪岱 主编,本书以纪实笔触展现了五星红旗的诞生历程与象征意义，通过生动的故事讲述国旗背后的民族记忆与荣光，引导青少年了解国家标志，培养爱国情怀。,""
2,小学 1-2,人文社科,读图识中国,人民教育出版社地图编辑室 编,以精美地图和插画直观展示中国的山河湖海、历史文化、风土人情及资源物产，通过“读图”方式带孩子领略祖国壮丽疆域，普及地理常识。,""
3,小学 1-2,人文社科,中华人物故事汇.中华先锋人物故事汇,徐鲁，葛竞，汤素兰，吴尔芬，吕丽娜，肖显志，余雷，张吉宙，王巨成等 著,讲述王杰、王选、钱学森等时代先锋的奋斗故事，展现国家脊梁的崇高人格与伟大胸襟，为青少年树立人生榜样，弘扬榜样力量。,""
4,小学 1-2,文学,萝卜回来了,方轶群 文/严个凡 画,大雪天小白兔找到两个萝卜，它因担心朋友挨饿而将萝卜送出，萝卜在小驴、小羊、小鹿间循环传递，最后又回到小白兔手中，体现了爱与分享。,https://cf.s3.soulter.top/whznjs/%E8%90%9D%E8%9C%82%E5%9B%9E%E6%9D%A5%E4%BA%86.mp4
5,小学 1-2,文学,没头脑和不高兴,任溶溶 著,讲述马虎的“没头脑”和任性的“不高兴”两个孩子，在仙人帮助下变大后因性格缺陷闹出各种笑话，寓教于乐地告诫孩子要养成好习惯。,https://cf.s3.soulter.top/whznjs/%E6%B2%A1%E5%A4%B4%E8%84%91%E5%92%8C%E4%B8%8D%E9%AB%98%E5%85%B4.mp4
6,小学 1-2,文学,儿歌 300 首,金波，郑春华等 著,精选金波等名家创作的经典儿歌，内容贴近儿童生活，节奏明快、朗朗上口，涵盖自然、生活、情感等主题，是儿童语言启蒙的优秀读物。,""
7,小学 1-2,文学,小巴掌童话,张秋生 著,张秋生创作的短小精悍、充满诗意的童话集。每个故事如巴掌般大小，却蕴含着关于善良、智慧、友爱的人生哲理，风格清新幽默。,""
8,小学 1-2,文学,小马过河,彭文席 著,小马帮妈妈送麦子，面对深浅不明的小河，老牛说浅，松鼠说深。小马在妈妈鼓励下亲自尝试，发现河水既不像老牛说的那么浅，也不像松鼠说的那么深。,""
9,小学 1-2,文学,吃黑夜的大象,白冰 著/沈苑苑 绘,大象啊呜吃掉了森林里的黑夜，让怕黑的小动物不再恐惧，但没有黑夜大家无法入睡。最后啊呜吐出黑夜，大家明白黑夜也是生活的一部分。,https://cf.s3.soulter.top/whznjs/%E5%90%83%E6%8E%89%E9%BB%91%E5%A4%9C%E7%9A%84%E5%A4%A7%E8%B1%A1.mp4
10,小学 1-2,文学,大头儿子和小头爸爸,郑春华 著,讲述大头儿子、小头爸爸和围裙妈妈一家三口平凡而温馨的生活故事，展现了现代家庭中父子间的平等友谊与快乐成长，充满生活气息。,https://cf.s3.soulter.top/whznjs/%E5%A4%A7%E5%A4%B4%E5%84%BF%E5%AD%90%E5%92%8C%E5%B0%8F%E5%A4%B4%E7%88%B8%E7%88%B8.mp4
11,小学 1-2,文学,我有友情要出租,方素珍 著/郝洛玟 绘,寂寞的大猩猩贴出“友情出租”的告示，小女孩咪咪每天来租。他们在游戏中建立了深厚友谊。当咪咪搬走后，大猩猩明白朋友不是租来的，而是需要用心去交。,""
12,小学 1-2,文学,一园青菜成了精,编自北方童谣/周翔 绘,根据北方童谣改编，讲述园子里的蔬菜们在没人管时纷纷“成精”，展开了一场热闹非凡的“蔬菜大战”。通过拟人手法展示蔬菜特性，充满童趣与想象力。,""
13,小学 1-2,文学,团圆,余丽琼 文/朱成梁 图,讲述常年在外工作的父亲春节回家与妻女团聚的故事。通过小女孩毛毛的视角，展现了中国传统节日中浓浓的亲情、离别的伤感与重逢的喜悦，感人至深。,""
14,小学 1-2,文学,格林童话,[德]格林兄弟 著/杨武能 译,由格林兄弟搜集整理的德国民间故事集，包含《青蛙王子》《白雪公主》等经典名篇。杨武能译本文字优美、还原度高，展现了善恶有报的朴素哲理。,""
15,小学 1-2,文学,弗朗兹的故事,[奥]克里斯蒂娜·涅斯特林格 著/湘雪 译,讲述小男孩弗朗兹从6岁到8岁的成长点滴。他身材矮小、声音尖细，在生活中遇到各种烦恼与挑战，作者以幽默笔触展现了孩子真实的内心世界与成长智慧。,""
16,小学 1-2,自然科学,小彗星旅行记,徐刚 著/绘,以小彗星哈伊的视角，讲述它穿越太阳系、拜访各大行星的奇妙旅程。将天文知识融入童话故事，是引导孩子探索宇宙奥秘的优秀科普绘本。,""
17,小学 1-2,自然科学,嫦娥探月立体书,马莉等 文/王晓旭 图,通过立体翻翻页等互动形式，全方位揭秘中国“嫦娥工程”的探月历程。涵盖宇宙知识与航天成就，让孩子在动手玩乐中感受中国航天的魅力。,""
